"Date"	"amr_class"	"amr"
2015-10-01	"Pleuromutilin"	7.4988
2015-10-01	"Tetracycline"	3003.7098
2015-11-01	"Aminoglycoside"	432.6845
2015-11-01	"Amphenicol"	10.4089
2015-11-01	"Beta.lactam"	270.4811
2015-11-01	"Lincosamide"	632.5082
2015-11-01	"Macrolide"	843.5486
2015-11-01	"Pleuromutilin"	9.8593
2015-11-01	"Tetracycline"	3459.1523
2016-01-01	"Aminoglycoside"	255.7492
2016-01-01	"Amphenicol"	3.5001
2016-01-01	"Beta.lactam"	276.2497
2016-01-01	"Lincosamide"	451.6489
2016-01-01	"Macrolide"	969.0085
2016-01-01	"Pleuromutilin"	4.2856
2016-01-01	"Tetracycline"	3192.4826
2016-02-01	"Aminoglycoside"	225.3896
2016-02-01	"Amphenicol"	6.9946
2016-02-01	"Beta.lactam"	308.8664
2016-02-01	"Lincosamide"	267.4603
2016-02-01	"Macrolide"	561.1155
2016-02-01	"Pleuromutilin"	3.9761
2016-02-01	"Tetracycline"	2390.6526
2016-04-01	"Aminoglycoside"	300.9685
2016-04-01	"Amphenicol"	6.2617
2016-04-01	"Beta.lactam"	315.572
2016-04-01	"Lincosamide"	389.406
2016-04-01	"Macrolide"	785.4419
2016-04-01	"Pleuromutilin"	8.1189
2016-04-01	"Tetracycline"	3171.5801
2016-05-01	"Aminoglycoside"	295.2529
2016-05-01	"Amphenicol"	5.1418
2016-05-01	"Beta.lactam"	307.3917
2016-05-01	"Lincosamide"	440.3227
2016-05-01	"Macrolide"	956.186
2016-05-01	"Pleuromutilin"	6.094
2016-05-01	"Tetracycline"	3190.3695
2016-06-01	"Aminoglycoside"	509.3812
2016-06-01	"Amphenicol"	7.7905
2016-06-01	"Beta.lactam"	283.7636
2016-06-01	"Lincosamide"	522.2028
2016-06-01	"Macrolide"	822.2432
2016-06-01	"Pleuromutilin"	10.1884
2016-06-01	"Tetracycline"	3599.8911
2016-09-01	"Aminoglycoside"	370.5831
2016-09-01	"Amphenicol"	11.1615
2016-09-01	"Beta.lactam"	292.2814
2016-09-01	"Lincosamide"	363.0109
2016-09-01	"Macrolide"	599.807
2016-09-01	"Pleuromutilin"	12.4268
2016-09-01	"Tetracycline"	2729.4456
2016-10-01	"Aminoglycoside"	304.6349
2016-10-01	"Amphenicol"	7.1295
2016-10-01	"Beta.lactam"	361.5812
2016-10-01	"Lincosamide"	491.9762
2016-10-01	"Macrolide"	1070.4212
2016-10-01	"Pleuromutilin"	8.2943
2016-10-01	"Tetracycline"	3245.2497
2016-11-01	"Aminoglycoside"	276.4955
2016-11-01	"Amphenicol"	7.5089
2016-11-01	"Beta.lactam"	386.7936
2016-11-01	"Lincosamide"	490.6184
2016-11-01	"Macrolide"	1339.0646
2016-11-01	"Pleuromutilin"	7.9034
2016-11-01	"Tetracycline"	2926.5607
2016-12-01	"Aminoglycoside"	346.4803
2016-12-01	"Amphenicol"	18.5208
2016-12-01	"Beta.lactam"	290.8777
2016-12-01	"Lincosamide"	393.3177
2016-12-01	"Macrolide"	782.2298
2016-12-01	"Pleuromutilin"	19.9766
2016-12-01	"Tetracycline"	2762.0297
2017-01-01	"Aminoglycoside"	223.6165
2017-01-01	"Amphenicol"	7.8622
2017-01-01	"Beta.lactam"	331.6118
2017-01-01	"Lincosamide"	320.5735
2017-01-01	"Macrolide"	1061.9825
2017-01-01	"Pleuromutilin"	9.5475
2017-01-01	"Tetracycline"	2512.1241
2017-02-01	"Aminoglycoside"	325.6899
2017-02-01	"Amphenicol"	6.6583
2017-02-01	"Beta.lactam"	292.1282
2017-02-01	"Lincosamide"	297.8799
2017-02-01	"Macrolide"	911.5342
2017-02-01	"Pleuromutilin"	7.1512
2017-02-01	"Tetracycline"	2817.2382
2017-03-01	"Aminoglycoside"	251.6836
2017-03-01	"Amphenicol"	9.8419
2017-03-01	"Beta.lactam"	312.0063
2017-03-01	"Lincosamide"	366.0692
2017-03-01	"Macrolide"	1028.9728
2017-03-01	"Pleuromutilin"	9.8805
2017-03-01	"Tetracycline"	3309.5906
2017-04-01	"Aminoglycoside"	272.7317
2017-04-01	"Amphenicol"	6.6575
2017-04-01	"Beta.lactam"	302.9267
2017-04-01	"Lincosamide"	350.2498
2017-04-01	"Macrolide"	827.4327
2017-04-01	"Pleuromutilin"	9.4655
2017-04-01	"Tetracycline"	3146.4198
2017-05-01	"Aminoglycoside"	291.9689
2017-05-01	"Amphenicol"	12.918
2017-05-01	"Beta.lactam"	298.1872
2017-05-01	"Lincosamide"	360.0955
2017-05-01	"Macrolide"	747.726
2017-05-01	"Pleuromutilin"	11.7687
2017-05-01	"Tetracycline"	2558.9087
2017-06-01	"Aminoglycoside"	228.5809
2017-06-01	"Amphenicol"	7.6419
2017-06-01	"Beta.lactam"	298.2079
2017-06-01	"Lincosamide"	274.1931
2017-06-01	"Macrolide"	879.366
2017-06-01	"Pleuromutilin"	8.2529
2017-06-01	"Tetracycline"	2869.7364
2017-07-01	"Aminoglycoside"	423.2218
2017-07-01	"Amphenicol"	13.342
2017-07-01	"Beta.lactam"	317.939
2017-07-01	"Lincosamide"	514.8765
2017-07-01	"Macrolide"	1151.0381
2017-07-01	"Pleuromutilin"	14.7952
2017-07-01	"Tetracycline"	3758.6341
2017-08-01	"Aminoglycoside"	341.8521
2017-08-01	"Amphenicol"	8.646
2017-08-01	"Beta.lactam"	314.5612
2017-08-01	"Lincosamide"	400.5155
2017-08-01	"Macrolide"	1283.3957
2017-08-01	"Pleuromutilin"	8.9489
2017-08-01	"Tetracycline"	2977.541
2017-09-01	"Aminoglycoside"	278.563
2017-09-01	"Amphenicol"	16.3695
2017-09-01	"Beta.lactam"	225.1587
2017-09-01	"Lincosamide"	322.6742
2017-09-01	"Macrolide"	795.0893
2017-09-01	"Pleuromutilin"	15.6436
2017-09-01	"Tetracycline"	3043.7013
2017-10-01	"Aminoglycoside"	243.8667
2017-10-01	"Amphenicol"	12.9456
2017-10-01	"Beta.lactam"	244.2523
2017-10-01	"Lincosamide"	285.6905
2017-10-01	"Macrolide"	958.2357
2017-10-01	"Pleuromutilin"	11.303
2017-10-01	"Tetracycline"	2192.3192
2017-11-01	"Aminoglycoside"	206.4097
2017-11-01	"Amphenicol"	7.5618
2017-11-01	"Beta.lactam"	277.4527
2017-11-01	"Lincosamide"	323.1624
2017-11-01	"Macrolide"	923.7461
2017-11-01	"Pleuromutilin"	8.2993
2017-11-01	"Tetracycline"	2228.3971
2017-12-01	"Aminoglycoside"	238.6169
2017-12-01	"Amphenicol"	6.0677
2017-12-01	"Beta.lactam"	273.2712
2017-12-01	"Lincosamide"	284.2159
2017-12-01	"Macrolide"	849.6717
2017-12-01	"Pleuromutilin"	6.8517
2017-12-01	"Tetracycline"	2672.4886
2018-01-01	"Aminoglycoside"	515.9068
2018-01-01	"Amphenicol"	16.1579
2018-01-01	"Beta.lactam"	235.6997
2018-01-01	"Lincosamide"	447.3254
2018-01-01	"Macrolide"	952.5752
2018-01-01	"Pleuromutilin"	12.6569
2018-01-01	"Tetracycline"	3510.81
2018-02-01	"Aminoglycoside"	251.1146
2018-02-01	"Amphenicol"	10.5084
2018-02-01	"Beta.lactam"	215.5535
2018-02-01	"Lincosamide"	381.9898
2018-02-01	"Macrolide"	933.8214
2018-02-01	"Pleuromutilin"	10.5278
2018-02-01	"Tetracycline"	2537.339
2018-03-01	"Aminoglycoside"	185.5811
2018-03-01	"Amphenicol"	10.1527
2018-03-01	"Beta.lactam"	214.5104
2018-03-01	"Lincosamide"	286.8127
2018-03-01	"Macrolide"	757.3201
2018-03-01	"Pleuromutilin"	10.9577
2018-03-01	"Tetracycline"	2418.7803
2018-04-01	"Aminoglycoside"	330.8889
2018-04-01	"Amphenicol"	13.9776
2018-04-01	"Beta.lactam"	225.822
2018-04-01	"Lincosamide"	405.4209
2018-04-01	"Macrolide"	942.5937
2018-04-01	"Pleuromutilin"	10.0084
2018-04-01	"Tetracycline"	3091.371
2018-05-01	"Aminoglycoside"	313.7195
2018-05-01	"Amphenicol"	13.9759
2018-05-01	"Beta.lactam"	181.0335
2018-05-01	"Lincosamide"	269.9549
2018-05-01	"Macrolide"	726.5233
2018-05-01	"Pleuromutilin"	13.105
2018-05-01	"Tetracycline"	3005.2739
2018-06-01	"Aminoglycoside"	354.8538
2018-06-01	"Amphenicol"	10.0803
2018-06-01	"Beta.lactam"	192.0748
2018-06-01	"Lincosamide"	314.2175
2018-06-01	"Macrolide"	847.0654
2018-06-01	"Pleuromutilin"	9.8263
2018-06-01	"Tetracycline"	3100.9253
2018-07-01	"Aminoglycoside"	214.5225
2018-07-01	"Amphenicol"	7.4833
2018-07-01	"Beta.lactam"	263.236
2018-07-01	"Lincosamide"	318.3037
2018-07-01	"Macrolide"	998.4529
2018-07-01	"Pleuromutilin"	8.3031
2018-07-01	"Tetracycline"	2397.8666
2018-08-01	"Aminoglycoside"	293.2352
2018-08-01	"Amphenicol"	9.0428
2018-08-01	"Beta.lactam"	342.419
2018-08-01	"Lincosamide"	566.5982
2018-08-01	"Macrolide"	1560.508
2018-08-01	"Pleuromutilin"	13.8115
2018-08-01	"Tetracycline"	3153.8699
2018-09-01	"Aminoglycoside"	310.0831
2018-09-01	"Amphenicol"	11.6506
2018-09-01	"Beta.lactam"	202.7414
2018-09-01	"Lincosamide"	286.8662
2018-09-01	"Macrolide"	626.612
2018-09-01	"Pleuromutilin"	14.9378
2018-09-01	"Tetracycline"	2337.4328
2018-10-01	"Aminoglycoside"	453.3541
2018-10-01	"Amphenicol"	10.2834
2018-10-01	"Beta.lactam"	615.7077
2018-10-01	"Lincosamide"	719.492
2018-10-01	"Macrolide"	1552.4063
2018-10-01	"Pleuromutilin"	13.495
2018-10-01	"Tetracycline"	3799.0299
2018-11-01	"Aminoglycoside"	350.6018
2018-11-01	"Amphenicol"	10.2231
2018-11-01	"Beta.lactam"	233.928
2018-11-01	"Lincosamide"	282.4946
2018-11-01	"Macrolide"	1014.0219
2018-11-01	"Pleuromutilin"	11.3738
2018-11-01	"Tetracycline"	2918.5292
2018-12-01	"Aminoglycoside"	188.2742
2018-12-01	"Amphenicol"	10.0133
2018-12-01	"Beta.lactam"	268.7728
2018-12-01	"Lincosamide"	277.7615
2018-12-01	"Macrolide"	924.9681
2018-12-01	"Pleuromutilin"	10.6837
2018-12-01	"Tetracycline"	1773.0927
2019-02-01	"Aminoglycoside"	334.1476
2019-02-01	"Amphenicol"	20.4929
2019-02-01	"Beta.lactam"	372.3629
2019-02-01	"Lincosamide"	618.2239
2019-02-01	"Macrolide"	1187.5749
2019-02-01	"Pleuromutilin"	27.4494
2019-02-01	"Tetracycline"	3238.8687
2019-03-01	"Aminoglycoside"	354.7534
2019-03-01	"Amphenicol"	26.3969
2019-03-01	"Beta.lactam"	324.609
2019-03-01	"Lincosamide"	582.8224
2019-03-01	"Macrolide"	1045.9639
2019-03-01	"Pleuromutilin"	26.401
2019-03-01	"Tetracycline"	3349.1384
2019-04-01	"Aminoglycoside"	379.8058
2019-04-01	"Amphenicol"	23.442
2019-04-01	"Beta.lactam"	317.2922
2019-04-01	"Lincosamide"	630.6961
2019-04-01	"Macrolide"	1048.4252
2019-04-01	"Pleuromutilin"	26.7452
2019-04-01	"Tetracycline"	3271.7282
2019-05-01	"Aminoglycoside"	378.6903
2019-05-01	"Amphenicol"	13.0076
2019-05-01	"Beta.lactam"	271.1946
2019-05-01	"Lincosamide"	545.6908
2019-05-01	"Macrolide"	975.136
2019-05-01	"Pleuromutilin"	15.5802
2019-05-01	"Tetracycline"	3097.0192
2019-06-01	"Aminoglycoside"	319.9703
2019-06-01	"Amphenicol"	9.2878
2019-06-01	"Beta.lactam"	387.5922
2019-06-01	"Lincosamide"	552.2017
2019-06-01	"Macrolide"	959.476
2019-06-01	"Pleuromutilin"	12.4582
2019-06-01	"Tetracycline"	2536.3072
2019-07-01	"Aminoglycoside"	376.519
2019-07-01	"Amphenicol"	29.5469
2019-07-01	"Beta.lactam"	413.9384
2019-07-01	"Lincosamide"	798.0258
2019-07-01	"Macrolide"	1705.2226
2019-07-01	"Pleuromutilin"	36.2328
2019-07-01	"Tetracycline"	3500.6743
2019-08-01	"Aminoglycoside"	525.8786
2019-08-01	"Amphenicol"	41.897
2019-08-01	"Beta.lactam"	360.3902
2019-08-01	"Lincosamide"	1031.9677
2019-08-01	"Macrolide"	1423.1685
2019-08-01	"Pleuromutilin"	50.1297
2019-08-01	"Tetracycline"	3427.6357
2019-09-01	"Aminoglycoside"	408.4582
2019-09-01	"Amphenicol"	8.6607
2019-09-01	"Beta.lactam"	429.6411
2019-09-01	"Lincosamide"	737.2831
2019-09-01	"Macrolide"	1499.7831
2019-09-01	"Pleuromutilin"	15.5545
2019-09-01	"Tetracycline"	3401.65
2019-10-01	"Aminoglycoside"	553.5717
2019-10-01	"Amphenicol"	19.8549
2019-10-01	"Beta.lactam"	429.6911
2019-10-01	"Lincosamide"	1035.6231
2019-10-01	"Macrolide"	2000.6581
2019-10-01	"Pleuromutilin"	26.9246
2019-10-01	"Tetracycline"	4202.3634
2019-11-01	"Aminoglycoside"	517.4153
2019-11-01	"Amphenicol"	19.211
2019-11-01	"Beta.lactam"	486.054
2019-11-01	"Lincosamide"	830.9948
2019-11-01	"Macrolide"	1422.2891
2019-11-01	"Pleuromutilin"	26.2433
2019-11-01	"Tetracycline"	3264.4461
2019-12-01	"Aminoglycoside"	334.302
2019-12-01	"Amphenicol"	19.4703
2019-12-01	"Beta.lactam"	413.7365
2019-12-01	"Lincosamide"	639.948
2019-12-01	"Macrolide"	1105.459
2019-12-01	"Pleuromutilin"	25.314
2019-12-01	"Tetracycline"	2733.8006
2020-01-01	"Aminoglycoside"	192.3536
2020-01-01	"Amphenicol"	7.5988
2020-01-01	"Beta.lactam"	326.3935
2020-01-01	"Lincosamide"	381.5906
2020-01-01	"Macrolide"	733.6069
2020-01-01	"Pleuromutilin"	8.4617
2020-01-01	"Tetracycline"	1944.4085
2020-02-01	"Aminoglycoside"	354.1251
2020-02-01	"Amphenicol"	8.9686
2020-02-01	"Beta.lactam"	349.8948
2020-02-01	"Lincosamide"	443.8477
2020-02-01	"Macrolide"	966.787
2020-02-01	"Pleuromutilin"	11.5246
2020-02-01	"Tetracycline"	2902.1915
2020-03-01	"Aminoglycoside"	424.5486
2020-03-01	"Amphenicol"	23.5969
2020-03-01	"Beta.lactam"	366.9323
2020-03-01	"Lincosamide"	824.4369
2020-03-01	"Macrolide"	1916.8921
2020-03-01	"Pleuromutilin"	25.5226
2020-03-01	"Tetracycline"	3584.3895
2020-04-01	"Aminoglycoside"	396.068
2020-04-01	"Amphenicol"	26.042
2020-04-01	"Beta.lactam"	352.2944
2020-04-01	"Lincosamide"	545.6813
2020-04-01	"Macrolide"	965.5851
2020-04-01	"Pleuromutilin"	29.9239
2020-04-01	"Tetracycline"	3460.9475
2020-05-01	"Aminoglycoside"	203.1795
2020-05-01	"Amphenicol"	11.797
2020-05-01	"Beta.lactam"	225.7639
2020-05-01	"Lincosamide"	340.6153
2020-05-01	"Macrolide"	834.7157
2020-05-01	"Pleuromutilin"	12.4779
2020-05-01	"Tetracycline"	2475.8742
2020-06-01	"Aminoglycoside"	467.534
2020-06-01	"Amphenicol"	10.5428
2020-06-01	"Beta.lactam"	424.8453
2020-06-01	"Lincosamide"	679.0626
2020-06-01	"Macrolide"	1243.0575
2020-06-01	"Pleuromutilin"	13.6573
2020-06-01	"Tetracycline"	2985.3705
2020-07-01	"Aminoglycoside"	704.0108
2020-07-01	"Amphenicol"	26.7715
2020-07-01	"Beta.lactam"	345.0089
2020-07-01	"Lincosamide"	1232.2904
2020-07-01	"Macrolide"	3192.9436
2020-07-01	"Pleuromutilin"	36.7762
2020-07-01	"Tetracycline"	5005.6578
2020-08-01	"Aminoglycoside"	460.8633
2020-08-01	"Amphenicol"	14.4303
2020-08-01	"Beta.lactam"	347.6269
2020-08-01	"Lincosamide"	708.8404
2020-08-01	"Macrolide"	1481.9128
2020-08-01	"Pleuromutilin"	18.484
2020-08-01	"Tetracycline"	3798.4331
2020-09-01	"Aminoglycoside"	345.7904
2020-09-01	"Amphenicol"	14.1925
2020-09-01	"Beta.lactam"	299.651
2020-09-01	"Lincosamide"	496.8353
2020-09-01	"Macrolide"	1265.671
2020-09-01	"Pleuromutilin"	15.3024
2020-09-01	"Tetracycline"	2553.4301
2020-10-01	"Aminoglycoside"	287.2311
2020-10-01	"Amphenicol"	7.4977
2020-10-01	"Beta.lactam"	415.592
2020-10-01	"Lincosamide"	457.2249
2020-10-01	"Macrolide"	999.2094
2020-10-01	"Pleuromutilin"	10.8118
2020-10-01	"Tetracycline"	2572.9954
2020-11-01	"Aminoglycoside"	350.6615
2020-11-01	"Amphenicol"	10.9755
2020-11-01	"Beta.lactam"	405.2995
2020-11-01	"Lincosamide"	672.1498
2020-11-01	"Macrolide"	1606.4815
2020-11-01	"Pleuromutilin"	14.979
2020-11-01	"Tetracycline"	2714.8328
2020-12-01	"Aminoglycoside"	643.3386
2020-12-01	"Amphenicol"	34.8611
2020-12-01	"Beta.lactam"	445.9943
2020-12-01	"Lincosamide"	981.5308
2020-12-01	"Macrolide"	1833.5759
2020-12-01	"Pleuromutilin"	41.5959
2020-12-01	"Tetracycline"	4211.3143
2021-01-01	"Aminoglycoside"	477.9738
2021-01-01	"Amphenicol"	18.7025
2021-01-01	"Beta.lactam"	311.6719
2021-01-01	"Lincosamide"	513.8233
2021-01-01	"Macrolide"	844.9154
2021-01-01	"Pleuromutilin"	22.6141
2021-01-01	"Tetracycline"	3456.941
2021-02-01	"Aminoglycoside"	296.8501
2021-02-01	"Amphenicol"	14.5352
2021-02-01	"Beta.lactam"	435.49
2021-02-01	"Lincosamide"	419.8732
2021-02-01	"Macrolide"	1069.1167
2021-02-01	"Pleuromutilin"	15.7289
2021-02-01	"Tetracycline"	2617.2349
2021-03-01	"Aminoglycoside"	542.6119
2021-03-01	"Amphenicol"	29.3002
2021-03-01	"Beta.lactam"	430.6269
2021-03-01	"Lincosamide"	818.7151
2021-03-01	"Macrolide"	1601.6887
2021-03-01	"Pleuromutilin"	33.5636
2021-03-01	"Tetracycline"	3677.9643
2021-04-01	"Aminoglycoside"	380.6985
2021-04-01	"Amphenicol"	18.3414
2021-04-01	"Beta.lactam"	411.5504
2021-04-01	"Lincosamide"	514.54
2021-04-01	"Macrolide"	1149.6178
2021-04-01	"Pleuromutilin"	17.1849
2021-04-01	"Tetracycline"	2849.3182
2021-05-01	"Aminoglycoside"	274.9715
2021-05-01	"Amphenicol"	8.748
2021-05-01	"Beta.lactam"	373.919
2021-05-01	"Lincosamide"	468.8791
2021-05-01	"Macrolide"	1061.4505
2021-05-01	"Pleuromutilin"	11.8152
2021-05-01	"Tetracycline"	2487.6969
2021-06-01	"Aminoglycoside"	350.0584
2021-06-01	"Amphenicol"	16.8041
2021-06-01	"Beta.lactam"	340.5544
2021-06-01	"Lincosamide"	661.0844
2021-06-01	"Macrolide"	1184.03
2021-06-01	"Pleuromutilin"	21.2023
2021-06-01	"Tetracycline"	3241.7241
2021-07-01	"Aminoglycoside"	281.487
2021-07-01	"Amphenicol"	11.7076
2021-07-01	"Beta.lactam"	425.0846
2021-07-01	"Lincosamide"	608.19
2021-07-01	"Macrolide"	1150.4983
2021-07-01	"Pleuromutilin"	14.3295
2021-07-01	"Tetracycline"	2459.3883
2021-08-01	"Aminoglycoside"	404.359
2021-08-01	"Amphenicol"	40.5235
2021-08-01	"Beta.lactam"	419.5248
2021-08-01	"Lincosamide"	664.2071
2021-08-01	"Macrolide"	1385.78
2021-08-01	"Pleuromutilin"	43.7245
2021-08-01	"Tetracycline"	3067.2206
2021-09-01	"Aminoglycoside"	501.1749
2021-09-01	"Amphenicol"	14.4322
2021-09-01	"Beta.lactam"	443.2708
2021-09-01	"Lincosamide"	774.9269
2021-09-01	"Macrolide"	1295.5506
2021-09-01	"Pleuromutilin"	20.1416
2021-09-01	"Tetracycline"	3409.042
2021-10-01	"Aminoglycoside"	463.3802
2021-10-01	"Amphenicol"	24.5881
2021-10-01	"Beta.lactam"	440.8408
2021-10-01	"Lincosamide"	850.8895
2021-10-01	"Macrolide"	2000.1062
2021-10-01	"Pleuromutilin"	31.5635
2021-10-01	"Tetracycline"	3719.9601
2021-11-01	"Aminoglycoside"	334.6972
2021-11-01	"Amphenicol"	18.7102
2021-11-01	"Beta.lactam"	346.3869
2021-11-01	"Lincosamide"	588.5497
2021-11-01	"Macrolide"	1288.6774
2021-11-01	"Pleuromutilin"	21.4188
2021-11-01	"Tetracycline"	3092.0455
2021-12-01	"Aminoglycoside"	227.4707
2021-12-01	"Amphenicol"	11.1272
2021-12-01	"Beta.lactam"	315.9663
2021-12-01	"Lincosamide"	365.6056
2021-12-01	"Macrolide"	727.7983
2021-12-01	"Pleuromutilin"	13.4313
2021-12-01	"Tetracycline"	2260.995
2022-01-01	"Aminoglycoside"	375.2193
2022-01-01	"Amphenicol"	24.2931
2022-01-01	"Beta.lactam"	366.8373
2022-01-01	"Lincosamide"	570.5289
2022-01-01	"Macrolide"	1291.0043
2022-01-01	"Pleuromutilin"	27.0625
2022-01-01	"Tetracycline"	2981.4454
2022-02-01	"Aminoglycoside"	531.2724
2022-02-01	"Amphenicol"	32.0613
2022-02-01	"Beta.lactam"	364.4594
2022-02-01	"Lincosamide"	694.8141
2022-02-01	"Macrolide"	1711.2896
2022-02-01	"Pleuromutilin"	34.0671
2022-02-01	"Tetracycline"	3390.1637
2022-03-01	"Aminoglycoside"	260.1154
2022-03-01	"Amphenicol"	17.3438
2022-03-01	"Beta.lactam"	378.9843
2022-03-01	"Lincosamide"	498.4192
2022-03-01	"Macrolide"	1343.1284
2022-03-01	"Pleuromutilin"	18.9847
2022-03-01	"Tetracycline"	2858.1529
2022-04-01	"Aminoglycoside"	767.81
2022-04-01	"Amphenicol"	42.3961
2022-04-01	"Beta.lactam"	391.0121
2022-04-01	"Lincosamide"	890.8206
2022-04-01	"Macrolide"	1747.9245
2022-04-01	"Pleuromutilin"	46.0941
2022-04-01	"Tetracycline"	4265.6173
2022-05-01	"Aminoglycoside"	381.0774
2022-05-01	"Amphenicol"	22.8523
2022-05-01	"Beta.lactam"	298.2611
2022-05-01	"Lincosamide"	630.3408
2022-05-01	"Macrolide"	1335.9278
2022-05-01	"Pleuromutilin"	23.6132
2022-05-01	"Tetracycline"	3063.4969
2022-06-01	"Aminoglycoside"	529.8474
2022-06-01	"Amphenicol"	33.9579
2022-06-01	"Beta.lactam"	394.4133
2022-06-01	"Lincosamide"	829.4997
2022-06-01	"Macrolide"	1417.3598
2022-06-01	"Pleuromutilin"	36.5074
2022-06-01	"Tetracycline"	3408.7364
2022-07-01	"Aminoglycoside"	609.1822
2022-07-01	"Amphenicol"	20.6326
2022-07-01	"Beta.lactam"	339.4352
2022-07-01	"Lincosamide"	724.4497
2022-07-01	"Macrolide"	1947.5527
2022-07-01	"Pleuromutilin"	22.3267
2022-07-01	"Tetracycline"	3919.5043
2022-08-01	"Aminoglycoside"	454.3878
2022-08-01	"Amphenicol"	32.5357
2022-08-01	"Beta.lactam"	375.8307
2022-08-01	"Lincosamide"	569.2598
2022-08-01	"Macrolide"	1352.9466
2022-08-01	"Pleuromutilin"	32.9704
2022-08-01	"Tetracycline"	3076.2055
2022-09-01	"Aminoglycoside"	375.5682
2022-09-01	"Amphenicol"	18.3484
2022-09-01	"Beta.lactam"	306.1109
2022-09-01	"Lincosamide"	473.4892
2022-09-01	"Macrolide"	1492.5658
2022-09-01	"Pleuromutilin"	18.388
2022-09-01	"Tetracycline"	2775.7506
2022-10-01	"Aminoglycoside"	472.5079
2022-10-01	"Amphenicol"	43.4251
2022-10-01	"Beta.lactam"	278.8503
2022-10-01	"Lincosamide"	660.7496
2022-10-01	"Macrolide"	1351.7942
2022-10-01	"Pleuromutilin"	44.9823
2022-10-01	"Tetracycline"	3746.589
2022-11-01	"Aminoglycoside"	332.6068
2022-11-01	"Amphenicol"	30.4179
2022-11-01	"Beta.lactam"	246.1067
2022-11-01	"Lincosamide"	334.3424
2022-11-01	"Macrolide"	745.6069
2022-11-01	"Pleuromutilin"	31.3915
2022-11-01	"Tetracycline"	2242.3756
2022-12-01	"Aminoglycoside"	486.3395
2022-12-01	"Amphenicol"	47.1218
2022-12-01	"Beta.lactam"	368.8485
2022-12-01	"Lincosamide"	761.6723
2022-12-01	"Macrolide"	1693.1683
2022-12-01	"Pleuromutilin"	49.7131
2022-12-01	"Tetracycline"	3193.4359
